㔶	kong
㦿	kang
㦿子	kang zu
㲃	jiu
䁐	yang
䞀	heu
一	yi
一一	yi yi
一一二	yi yi e
一一例	yi yi li
一一分	yi yi fen
一一列举	yi yi lie jyu
一一对	yi yi dei
一一对应	yi yi dei yin
一一记	yi yi ji
一一道来	yi yi tau loi
一丁	yi diang
一丁不识	yi diang bei si
一丁点	yi diang dien
一丁点儿	yi diang dien e
一七	yi qi
一七八不	yi qi bai bei
一万	yi wan
一万一千	yi wan yi qien
一万一千多间	yi wan yi qien do gan
一万七千	yi wan qi qien
一万七千余	yi wan qi qien yu
一万七千多	yi wan qi qien do
一万七千多户	yi wan qi qien do fu
一万万	yi wan wan
一万万两	yi wan wan yong
一万三千	yi wan san qien
一万三千五百斤	yi wan san qien ng ba jin
一万三千余种	yi wan san qien yu jiung
一万三千块	yi wan san qien kuai
一万两	yi wan yong
一万两万	yi wan yong wan
一万两千	yi wan yong qien
一万个	yi wan go
一万九千	yi wan jiu qien
一万九千余	yi wan jiu qien yu
一万二	yi wan e
一万二千	yi wan e qien
一万二千两	yi wan e qien yong
一万二千五百	yi wan e qien ng ba
一万二千五百余	yi wan e qien ng ba yu
一万二千五百余吨	yi wan e qien ng ba yu den
一万二千亩	yi wan e qien meu
一万二千余	yi wan e qien yu
一万二千名	yi wan e qien miang
一万二千里	yi wan e qien li
一万五	yi wan ng
一万五千	yi wan ng qien
一万五千两	yi wan ng qien yong
一万五千个	yi wan ng qien go
一万五千二百余	yi wan ng qien e ba yu
一万五千余	yi wan ng qien yu
一万五千元	yi wan ng qien yon
一万五千名	yi wan ng qien miang
一万五千多	yi wan ng qien do
一万五千家	yi wan ng qien ga
一万亿	yi wan yi
一万亿美元	yi wan yi mi yon
一万余	yi wan yu
一万余吨	yi wan yu den
一万余顷	yi wan yu qin
一万倍	yi wan pi
一万元	yi wan yon
一万八	yi wan bai
一万八千	yi wan bai qien
一万八千余	yi wan bai qien yu
一万八千多元	yi wan bai qien do yon
一万公里	yi wan gung li
一万六千	yi wan liu qien
一万六千三百户	yi wan liu qien san ba fu
一万六千余户	yi wan liu qien yu fu
一万六千多	yi wan liu qien do
一万册	yi wan ca
一万刀	yi wan dau
一万匹	yi wan pi
一万卷	yi wan jon
一万双	yi wan song
一万发	yi wan fai
一万句	yi wan jyu
一万只	yi wan zi
一万名	yi wan miang
一万四千	yi wan su qien
一万四千余顷	yi wan su qien yu qin
一万四千多元	yi wan su qien do yon
一万回	yi wan fi
一万块	yi wan kuai
一万声	yi wan xiang
一万多	yi wan do
一万多一点	yi wan do yi dien
一万多两	yi wan do yong
一万多个	yi wan do go
一万多例	yi wan do li
一万多元	yi wan do yon
一万多只	yi wan do zi
一万多名	yi wan do miang
一万多块	yi wan do kuai
一万多平方公里	yi wan do piang fong gung li
一万多年	yi wan do nien
一万多斤	yi wan do jin
一万多顷	yi wan do qin
一万天	yi wan tien
一万头	yi wan teu
一万宗	yi wan zeng
一万家	yi wan ga
一万左右	yi wan zo yiu
一万年	yi wan nien
一万张	yi wan jiong
一万户	yi wan fu
一万斤	yi wan jin
一万条	yi wan tieu
一万次	yi wan cu
一万步	yi wan pu
一万盏	yi wan zan
一万种	yi wan jiung
一万贯	yi wan guon
一万遍	yi wan pien
一万里	yi wan li
一万间	yi wan gan
一万零五百亿斤	yi wan liang ng ba yi jin
一丈	yi jiong
一三	yi san
一三五	yi san ng
一三六八	yi san liu bai
一三四团	yi san su ton
一上	yi xiong
一上午	yi xiong wu
一上台	yi xiong toi
一上场	yi xiong qiong
一下	yi ha
一下一下	yi ha yi ha
一下下	yi ha ha
一下二十	yi ha e si
一下余	yi ha yu
一下全部	yi ha qon pu
一下十三	yi ha si san
一下半	yi ha bon
一下周	yi ha zeu
一下四周	yi ha su zeu
一下圈	yi ha qon
一下场	yi ha qiong
一下头	yi ha teu
一下子	yi ha zu
一下子全部	yi ha zu qon pu
一下子发	yi ha zu fai
一下子多出	yi ha zu do qyu
一下子成	yi ha zu cen
一下子打	yi ha zu da
一下子把	yi ha zu bai
一下子站	yi ha zu zan
一下子脸	yi ha zu lien
一下床	yi ha cong
一下张	yi ha jiong
一下手	yi ha seu
一下眼	yi ha ngan
一下站	yi ha zan
一下肚子	yi ha du zu
一下脸	yi ha lien
一下页	yi ha ye
一下顶	yi ha diang
一下顿	yi ha den
一下首	yi ha seu
一不做	yi bei zu
一不压众	yi bei nga qiung
一不小心	yi bei xieu xin
一不怕苦	yi bei pa ku
一不扭众	yi bei niu qiung
一不注意	yi bei jyu yi
一不留神	yi bei liu sen
一专多能	yi jon do len
一世	yi si
一世之雄	yi si zi xiung
一世英名	yi si yin miang
一世龙门	yi si liung men
一丘一壑	yi qiu yi fo
一丘之貉	yi qiu zi ho
一业	yi nie
一业为主	yi nie wei jyu
一丛丛	yi ceng ceng
一丝	yi su
一丝一毫	yi su yi hau
一丝不挂	yi su bei gua
一丝不紊	yi su bei wen
一丝不苟	yi su bei gieu
一丝丝	yi su su
一丝两气	yi su yong qi
一丝半粟	yi su bon su
一两	yi yong
一两一	yi yong yi
一两一两	yi yong yi yong
一两万	yi yong wan
一两万元	yi yong wan yon
一两万块	yi yong wan kuai
一两万美元	yi yong wan mi yon
一两丈	yi yong jiong
一两下	yi yong ha
一两个	yi yong go
一两九十元	yi yong jiu si yon
一两二两	yi yong e yong
一两五	yi yong ng
一两件	yi yong qien
一两倍	yi yong pi
一两八	yi yong bai
一两分	yi yong fen
一两分钟	yi yong fen jiung
一两千	yi yong qien
一两千元	yi yong qien yon
一两千块	yi yong qien kuai
一两千平方米	yi yong qien piang fong mi
一两千架	yi yong qien ga
一两半两	yi yong bon yong
一两发	yi yong fai
一两口	yi yong kieu
一两句	yi yong jyu
一两句话	yi yong jyu wa
一两只	yi yong zi
一两叶	yi yong ye
一两名	yi yong miang
一两周	yi yong zeu
一两回	yi yong fi
一两场	yi yong qiong
一两块	yi yong kuai
一两声	yi yong xiang
一两处	yi yong qyu
一两多	yi yong do
一两天	yi yong tien
一两套	yi yong tau
一两家	yi yong ga
一两寸	yi yong ceng
一两尺	yi yong qia
一两岁	yi yong xi
一两年	yi yong nien
一两张	yi yong jiong
一两成	yi yong cen
一两手	yi yong seu
一两折	yi yong ze
一两招	yi yong zeu
一两支	yi yong zi
一两日	yi yong ni
一两月	yi yong nyue
一两本	yi yong ben
一两条	yi yong tieu
一两杯	yi yong bi
一两枚	yi yong mi
一两株	yi yong jyu
一两样	yi yong yong
一两根	yi yong gien
一两次	yi yong cu
一两款	yi yong kuon
一两步	yi yong pu
一两点	yi yong dien
一两片	yi yong pien
一两百	yi yong ba
一两百万	yi yong ba wan
一两百个	yi yong ba go
一两百元	yi yong ba yon
一两百年	yi yong ba nien
一两碗	yi yong won
一两秒	yi yong mieu
一两篇	yi yong pien
一两米	yi yong mi
一两辆	yi yong liong
一两遍	yi yong pien
一两部	yi yong pu
一两里	yi yong li
一两重	yi yong qiung
一两门	yi yong men
一两间	yi yong gan
一两页	yi yong ye
一两项	yi yong hong
一两颗	yi yong ko
一两首	yi yong seu
一个	yi go
一个一个把	yi go yi go bai
一个一千多年	yi go yi qien do nien
一个一号	yi go yi hau
一个一尺	yi go yi qia
一个一岁	yi go yi xi
一个一百多年	yi go yi ba do nien
一个一百多斤	yi go yi ba do jin
一个一米	yi go yi mi
一个七八	yi go qi bai
一个七八岁	yi go qi bai xi
一个七十	yi go qi si
